Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2001,2.1114473020675746,2.857142857142857,1.4317343173431734,2.391991570073762,1.5635939323220536,0.6656891495601173,0.801829268292683,1.3175987685992816,3.5161290322580645,2.8636363636363638,0.5687568756875687,1.6383941193101499,1.2817234848484849,1.310177705977383,1.541715976331361,1.1428571428571428,2.225806451612903,2.161290322580645,0.40625,1.77007299270073,0.5185567010309279,1.7624872579001019,3.75,1.8541263076327006,3.5,25.263736263736263,0.15870757976021133,2.342603550295858,0.68,0.30569948186528495,0.9,0.5226960110041265,0.25,0.6746031746031746
2002,2.1305536568694463,5.428571428571429,1.5251677852348993,2.09375,1.9240506329113924,0.6584699453551912,0.7847869507323568,0.11687087653157399,3.4344262295081966,2.4395604395604398,0.4613821138211382,1.7466996699669968,1.241036717062635,1.4122281752284904,1.3841381170758025,1.3333333333333333,1.8656716417910448,1.4705882352941178,0.21468926553672316,1.7489711934156378,0.5182081856268128,1.7313106036909602,4.230769230769231,1.756627783669141,2.754385964912281,23.263546798029555,0.1363372655192419,2.449112426035503,0.75,0.27979274611398963,0.9259259259259259,0.4779670181130035,0.0,0.7111111111111111
2003,2.0327868852459017,6.428571428571429,1.730593607305936,1.9562890276538805,1.891263940520446,0.5818639798488665,0.7395513214505224,1.2781921895568231,2.8884758364312266,2.142857142857143,0.4123524069028156,1.6511503477795613,1.1496865203761755,1.3044232437120555,1.2594049668059994,1.2783505154639174,1.6164383561643836,2.054054054054054,0.4012345679012346,1.7078734363502575,0.470677146311971,1.7278462862059076,2.6666666666666665,1.1586508432229856,2.5454545454545454,17.367614879649892,0.1214574898785425,1.7442941673710906,0.42857142857142855,0.23843416370106763,0.7066666666666667,0.48249811130697556,0.2,0.6416382252559727
2004,1.916083916083916,8.619047619047619,1.392022008253095,2.7949400798934754,1.850328947368421,0.731651376146789,0.6981797657683082,1.2766875981161696,3.2318339100346023,2.207289293849658,0.504519309778143,1.629620316821725,1.1296561604584527,1.2923238696109358,1.1824060653361579,1.1226415094339623,1.7534246575342465,1.5952380952380953,0.36627906976744184,1.620983606557377,0.5256446585434967,1.689358372456964,3.0,1.1086880466472304,2.3552631578947367,19.732558139534884,0.14411764705882352,1.673861852433281,0.5357142857142857,0.2508532423208191,0.9397590361445783,0.4628274722681142,0.0,0.5750798722044729
2005,1.6311551563951687,3.9545454545454546,1.894478527607362,1.1745562130177514,1.6421818181818182,0.5020746887966805,0.721760266086734,1.1839523475823406,2.697674418604651,1.8493723849372385,1.4141488577745025,1.2700515084621045,1.01249199231262,1.2719675262655206,1.0325080515297906,1.2017543859649122,1.3695652173913044,1.2553191489361701,0.3023255813953488,1.4862973760932945,0.7205882352941176,1.5942267073456935,3.85,1.05412120557416,2.863013698630137,1.5148342059336823,1.3555283224400871,1.763148079074972,0.6216216216216216,0.2188006482982172,0.8681318681318682,0.4447098160974445,0.0,0.6512968299711815
2006,1.7679412579661957,5.863636363636363,2.0142231947483586,1.6731843575418994,1.5405580791693705,0.5727788279773157,0.7145673857573649,1.2996436669906057,2.595808383233533,1.8874045801526718,1.2717607973421927,1.2818327974276527,1.0191064905872436,1.153829464091994,1.0343789896042312,1.282258064516129,1.5865384615384615,1.2307692307692308,0.3695652173913043,1.425983436853002,0.7563816604708798,1.5048380311316787,3.1818181818181817,1.094987069822956,1.849056603773585,1.516329704510109,1.3582425835523846,1.6016713091922006,0.5365853658536586,0.21947449768160743,0.72,0.4833964787162915,0.16666666666666666,0.5651041666666666
2007,2.1280037694361553,4.318181818181818,1.5710088148873653,2.207989854153456,1.5034602076124568,0.5561312607944733,0.7281246709487207,1.2514172335600906,2.8625730994152048,1.6807017543859648,1.234282325029656,1.5998906306963179,0.9547637098812232,1.3217753120665743,0.921206145756306,0.8571428571428571,1.0854700854700854,0.819672131147541,0.4238095238095238,1.3966480446927374,0.7831858407079646,1.5264242878560719,2.08,1.0960750387032145,1.8583333333333334,1.5427682737169517,1.2544574069997798,1.483739837398374,0.4791666666666667,0.22271386430678466,0.8407079646017699,0.3898397669337218,0.0,0.5902777777777778
2008,1.916204217536071,6.090909090909091,1.6191756272401434,2.2656699252443935,1.5328165374677003,0.5096153846153846,0.6871416075420352,1.1311351623458343,2.2857142857142856,1.532258064516129,1.0697297297297297,1.4177255911211195,0.88058690744921,1.2076769871446678,0.9296587926509187,1.0272108843537415,0.9609375,0.9545454545454546,0.30973451327433627,1.2991561181434599,0.7010715066695823,1.4212131480853947,3.0384615384615383,1.0715842414082146,1.6870229007633588,1.4678522571819426,1.3398127417056789,1.7338884866039102,0.41509433962264153,0.20786516853932585,0.746031746031746,0.3548058993049669,0.0,0.4380165289256198
2009,1.8327335897754065,7.181818181818182,1.6121457489878543,2.239795918367347,1.3546099290780143,0.4762611275964392,0.6348758978088918,1.040225988700565,2.3076923076923075,1.6467065868263473,1.0647693817468107,1.253271968934273,0.7880658436213992,1.2252537015471636,0.7885959449173068,0.8503401360544217,1.0211267605633803,0.8571428571428571,0.22916666666666666,1.3528960490985809,0.7591059602649006,1.3936825885978428,3.0,1.0663253432627415,1.5902777777777777,1.082592121982211,1.3580109472121717,1.5965834428383705,0.55,0.2289156626506024,0.5864661654135338,0.3689304982545224,0.2857142857142857,0.4052044609665427
2010,1.7577048078000672,6.7272727272727275,1.630057803468208,2.1794654221467966,1.2134646962233169,0.4497936726272352,0.6321906847469048,0.9847662771285476,2.0483271375464684,1.4140730717185386,0.9179616913624864,1.0603715170278638,0.731752500926269,1.2266727355484752,0.78259766615931,0.7938144329896907,1.0316455696202531,1.025,0.15748031496062992,1.308663028649386,0.6715965111869548,1.2786770862405805,2.088235294117647,1.0957900725359124,1.44375,1.1203369434416366,1.265849182515849,2.0677102293410994,0.43548387096774194,0.14541622760800843,0.6595744680851063,0.3191047873128798,0.0,0.3989983305509182
