Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2011,85.06800953172478,104.8740390464129,50.755115486816635,25.75029649448199,108.2998736579782,541.9410958048957,215.1742190780587,208.79055208967037,90.7167189600422,73.87086353047265,94.367265514321,162.43882943013384,181.86350610735812,101.32571250840162,155.14406791697206,76.05384171101304,59.3790770399665,85.24180257998522,137.83687989813197,79.57592943040656,190.3680000415821,116.37834778653512,64.17767012019326,216.77607264579564,51.211757347797565,98.54941585995189,66.57431440894688,35.69875010366978,181.60571031520433,955.7346926004517,262.9045144460909,431.4390623661639,139.68864952117835,540.7950732202779
2012,100.04880801858985,107.01331989831891,57.14314771501787,29.39646072656455,119.33521703050721,589.6751155671302,234.90004219335378,227.9939056138259,106.28150211843405,71.65860347181167,94.00952605255215,176.0521453093162,205.50021060268574,110.32418057388826,170.55335696121074,77.77221033251924,65.35184691745735,91.7970845245955,146.99681714005115,88.50681904425078,223.31371987793685,128.65897092137143,70.0021782073126,238.0584054887376,54.8542340154762,121.01735672955536,76.10838920096869,41.758426871091935,201.4265182981604,988.7419856294108,280.3263196237823,431.251772752823,154.45947678396834,593.8203047847602
2013,98.47257387943351,104.89989493337676,58.54953095777456,33.49397414976375,129.7895575423004,634.0032860025321,252.99597149310947,247.31219235768455,124.92298911279036,78.26962824425694,99.92236993941155,192.0717922582573,233.1929795297873,116.73764653173252,186.04801550180323,105.44272550636731,71.07090020082052,106.9586029544618,157.17649161248627,98.05734445602567,220.62716224658718,141.75821828633048,57.98546884150832,259.3854886950196,65.04086796480806,139.81617658606896,82.6421232048202,65.30728399079875,221.00723135661,1018.972418830463,295.00491302776777,449.1281876692834,169.08821485885744,539.1280666374613
2014,105.83609039481911,102.86833010433506,68.155672696551,37.81724769178073,143.62626023509634,677.0131361348616,269.9324027481658,266.5921745500165,137.3722117566411,85.23594686807847,49.39548262420941,209.50701712135336,259.21444505594764,127.48273428173258,199.84774598532414,138.59946746926636,78.45005219617283,118.98442537296842,160.79283203757737,108.04427693991788,218.0044770315558,154.05728691548302,63.75276168994545,277.64164353398826,67.10745077249064,154.64334172342612,91.18018784445734,71.23570259316165,242.93661783640647,573.2362447375368,305.6591872275214,470.55807279567995,198.87497953882422,566.6396953213821
2015,114.46701071595946,100.91395968868244,76.10317587103147,42.59434393112347,157.31628827030502,722.063887733187,291.1590096289975,287.0305485584619,150.2483617976088,91.87336919230694,58.353406509747856,229.2639367570073,283.70506273389975,143.78720474563596,215.49274874403355,106.13045458681306,82.73954539361061,128.88978267646206,168.9656791246647,118.49745176667825,215.44341315974464,168.46738830099093,67.82308710503304,295.71903317979894,73.00606457754031,169.6723405146865,101.5809806352368,77.27693702622963,262.0345803439127,605.6650829779084,317.15048072233714,494.0848315800402,213.15274221002852,593.7936656487628
2016,122.97076334311151,173.79869847729387,84.2540160781906,47.97536016307072,172.44452009855223,765.8048936784393,311.91766292860797,307.35904896922483,162.2956106903677,99.06993924314773,68.78804135591477,249.38555590148218,297.7576074221967,141.55605759963123,231.895956713021,104.24494974098877,169.4637035624277,143.4953796166072,192.33051695659228,130.88133850884174,308.17574544683424,182.50249802971737,76.49305864519866,313.70239569709656,81.57299325322303,172.72645600260114,110.63788869609765,66.94805625378531,283.45901718885267,739.7332187939962,306.18560216622683,533.1216301205975,242.44811989059528,625.6860433586653
2017,133.17139545729458,115.89120854442702,89.38352903004689,53.6784881318891,184.81436817552142,813.5169618614843,332.606425966413,328.1433959043838,185.14618069235004,107.65097340133246,92.45255976474868,270.0846873501412,329.3714039857792,165.14221761512817,248.1985844159617,114.16592257347719,173.59006162060106,154.31482402663656,207.61615034893185,145.4391171097771,330.8204512550937,196.29918093458676,83.44154981244195,334.06478623868753,96.75325383971476,192.63804981711917,119.5503632594115,75.96130097555204,309.70724034601915,769.93530799505,319.80992864716455,554.7662962626563,271.46700770966305,661.3331452207943
2018,144.48844075376513,132.7761707997254,100.23079757297269,62.16867679003029,200.90751934523,863.8117070412258,354.2992353781951,266.4575555459512,201.97658201096314,117.19435701190011,90.95164460295307,289.2503113962715,358.0032832042773,179.55224636096304,266.43190922648876,101.95808516360233,97.24802969797128,168.83928188757122,227.47642667869877,162.75355656968344,321.68337117474164,211.08751322136524,82.601873349301,354.2523744042687,108.57523729804507,220.32481492449023,131.78600947430266,75.10875851121133,330.5995359492926,818.26850254799,339.5080446294277,568.8748661299454,270.1919713956766,696.3366551894385
2019,155.60746943980195,142.85382438942102,113.15231201357152,70.95310586208372,217.541682214783,907.571776822274,369.44695036165837,291.63984738717386,218.59008247036152,127.58203256317367,89.4986839489533,310.56514714966073,385.1083512959593,185.7042115313744,283.4322442887138,118.1625347208531,104.87164312603915,186.89003166907494,248.36993292389803,179.47969328907894,346.9210378410783,226.0682284176428,81.77892793277408,376.42987652685883,122.33762738405451,241.0920810963351,144.48522106070538,74.27514046520346,353.75654324159416,858.5471039193567,354.12801434830857,597.2333730192253,268.92885636509783,727.9928381393188
2020,163.18263267075324,140.37523031455586,123.67053185262645,80.75874208082824,234.62403667706351,937.2205573736792,387.86604809511243,287.0940166372118,226.52515936349286,133.15570758882117,131.81182291207287,380.24745528366066,407.80315934917365,214.41869733911994,298.8656374632413,116.53719448744303,102.93252803723166,209.87173771283508,263.7055508446362,195.3587501353485,368.3170478346308,241.79816744442144,80.97221843185602,395.4350606970086,134.31591805978195,250.30999930683384,152.00871323258454,107.69371942501213,374.15011800694725,887.7291686680392,361.48657271729974,614.1557778942113,342.03235626090225,752.4491918601539
2021,164.58196382627366,152.3792154750092,134.93018364398554,87.50145815720198,246.05018696441846,963.2656813141779,400.35595810269837,303.4619845164702,239.27502417961213,141.67310816824988,141.8388910043449,392.6133290736578,427.9210131658272,224.90261766177684,310.2424527306258,126.38804559623402,108.24321809296436,225.94708195533985,274.9972221221566,204.5698527317461,380.9206505715963,251.32252925030733,95.02965222116964,409.0473534198099,143.84904380143146,263.5297627704224,161.81675832708112,115.84382452975565,386.86830110257466,908.7207396887508,373.50864685135997,628.4416554858627,355.25030344296755,768.7694669072483
2022,165.325467379189,165.1603355892859,147.51191734756523,94.96788336631846,258.5912608342755,1001.6303118182931,416.90151050239587,322.8638626118794,252.28591653671438,150.4378152852231,152.06485605722892,409.700743827198,448.37424397794615,237.58798216288463,324.82606186900085,141.92798229540847,116.07658852642045,243.0531004737326,288.3304787093069,215.61173227797843,394.4584769454086,263.3090959020249,110.28558673255569,424.56780690190106,154.83197729105592,279.3275164007916,172.268591103605,123.99261359280554,401.9060703596985,938.9919982191024,387.3790193801419,649.7823464785673,353.61252024063333,787.7631187217421
